Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UnitedKingdom
Aug-2002;3,35;3,35;3,58;3,35;3,35;3,35;3,35;3,35;3,35;3,35;3,35;3,35;3,35;4,19;3,92
sept-02;3,31;3,31;3,45;3,31;3,31;3,31;3,31;3,31;3,31;3,31;3,31;3,31;3,31;4,17;3,93
oct-02;3,26;3,26;3,44;3,26;3,26;3,26;3,26;3,26;3,26;3,26;3,26;3,26;3,26;4,07;3,9
nov-02;3,12;3,12;3,31;3,12;3,12;3,12;3,12;3,12;3,12;3,12;3,12;3,12;3,12;3,91;3,91
Dec-2002;2,94;2,94;3,07;2,94;2,94;2,94;2,94;2,94;2,94;2,94;2,94;2,94;2,94;3,67;3,95
janv-03;2,83;2,83;2,97;2,83;2,83;2,83;2,83;2,83;2,83;2,83;2,83;2,83;2,83;3,65;3,91
Feb-2003;2,69;2,69;2,83;2,69;2,69;2,69;2,69;2,69;2,69;2,69;2,69;2,69;2,69;3,61;3,69
mars-03;2,53;2,53;2,67;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;3,4;3,58
Apr-2003;2,53;2,53;2,67;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;3,42;3,58
May-2003;2,4;2,4;2,54;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;3,18;3,57
Jun-2003;2,15;2,15;2,21;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,81;3,57
Jul-2003;2,13;2,13;2,18;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,68;3,42
Aug-2003;2,14;2,14;2,19;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,71;3,45
sept-03;2,15;2,15;2,19;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,71;3,63
oct-03;2,14;2,14;2,2;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,73;3,73
nov-03;2,16;2,16;2,21;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,16;2,72;3,91
Dec-2003;2,15;2,15;2,22;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,7;3,95
janv-04;2,09;2,09;2,19;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,6;3,99
Feb-2004;2,07;2,07;2,18;2,07;2,07;2,07;2,07;2,07;2,07;2,07;2,07;2,07;2,07;2,46;4,1
mars-04;2,03;2,03;2,14;2,03;2,03;2,03;2,03;2,03;2,03;2,03;2,03;2,03;2,03;2,36;4,23
Apr-2004;2,05;2,05;2,17;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,05;2,02;4,33
May-2004;2,09;2,09;2,2;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;1,99;4,46
Jun-2004;2,11;2,11;2,21;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;1,98;4,73
Jul-2004;2,12;2,12;2,22;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;1,99;4,79
Aug-2004;2,11;2,11;2,21;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;1,99;4,89
sept-04;2,12;2,12;2,21;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2;4,87
oct-04;2,15;2,15;2,21;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;1,99;4,83
nov-04;2,17;2,17;2,21;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;1,99;4,82
Dec-2004;2,17;2,17;2,2;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2,17;2;4,81
janv-05;2,15;2,15;2,2;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2,15;2;4,8
Feb-2005;2,14;2,14;2,19;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;1,97;4,82
mars-05;2,14;2,14;2,19;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;1,97;4,92
Apr-2005;2,14;2,14;2,18;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;1,99;4,88
May-2005;2,13;2,13;2,18;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;1,9;4,83
Jun-2005;2,11;2,11;2,16;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;2,11;1,65;4,78
Jul-2005;2,12;2,12;2,16;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;2,12;1,48;4,59
Aug-2005;2,13;2,13;2,17;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;1,48;4,53
sept-05;2,14;2,14;2,18;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;2,14;1,47;4,54
oct-05;2,2;2,2;2,22;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;1,49;4,53
nov-05;2,36;2,36;2,39;2,36;2,36;2,36;2,36;2,36;2,36;2,36;2,36;2,36;2,36;1,51;4,56
Dec-2005;2,47;2,47;2,48;2,47;2,47;2,47;2,47;2,47;2,47;2,47;2,47;2,47;2,47;1,69;4,59
janv-06;2,51;2,51;2,52;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;2,51;1,83;4,54
Feb-2006;2,6;2,6;2,66;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;1,93;4,52
mars-06;2,72;2,72;2,85;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;1,96;4,53
Apr-2006;2,79;2,79;2,92;2,79;2,79;2,79;2,79;2,79;2,79;2,79;2,79;2,79;2,79;2,05;4,57
May-2006;2,89;2,89;2,98;2,89;2,89;2,89;2,89;2,89;2,89;2,89;2,89;2,89;2,89;2,11;4,65
Jun-2006;2,99;2,99;3,08;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,21;4,69
Jul-2006;3,1;3,1;3,2;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;2,28;4,68
Aug-2006;3,23;3,23;3,33;3,23;3,23;3,23;3,23;3,23;3,23;3,23;3,23;3,23;3,23;2,43;4,9
sept-06;3,34;3,34;3,45;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;2,54;4,98
oct-06;3,5;3,5;3,61;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;2,74;5,09
nov-06;3,6;3,6;3,72;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;2,9;5,18
Dec-2006;3,68;3,68;3,84;3,68;3,68;3,68;3,68;3,68;3,68;3,68;3,68;3,68;3,68;3;5,25
janv-07;3,75;3,75;3,92;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,21;5,45
Feb-2007;3,82;3,82;3,99;3,82;3,82;3,82;3,82;3,82;3,82;3,82;3,82;3,82;3,82;3,29;5,52
mars-07;3,89;3,89;4,07;3,89;3,89;3,89;3,89;3,89;3,89;3,89;3,89;3,89;3,89;3,26;5,5
Apr-2007;3,98;3,98;4,17;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,34;5,61
May-2007;4,07;4,07;4,28;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;4,07;3,4;5,72
Jun-2007;4,15;4,15;4,37;4,15;4,15;4,15;4,15;4,15;4,15;4,15;4,15;4,15;4,15;3,45;5,83
Jul-2007;4,22;4,22;4,42;4,22;4,22;4,22;4,22;4,22;4,22;4,22;4,22;4,22;4,22;3,53;5,98
Aug-2007;4,54;4,54;4,66;4,54;4,54;4,54;4,54;4,54;4,54;4,54;4,54;4,54;4,54;3,58;6,34
sept-07;4,74;4,74;4,85;4,74;4,74;4,74;4,74;4,74;4,74;4,74;4,74;4,74;4,74;3,62;6,58
oct-07;4,69;4,69;4,84;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;3,81;6,21
nov-07;4,64;4,64;4,82;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,02;6,36
