;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Irland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UK
2006 Jun;97,28072986;90,06;120,4909138;111,2;114,0885911;100,3943946;120,1672442;98,20017998;117,9010796;113,9578803;97,4;112,6;124,5594714;109,2109211;109,1269841
2006 Jul;98,31046919;89,75;118,9349191;112,6;111,9888011;102,2069313;116,9228712;97,17028297;116,7963846;115,7182039;95,4;111,79;124,4493392;106,9106911;108,1349206
2006 Aug;97,83553509;88,88;120,7953034;111,2;112,3887611;102,9118067;120,376592;96,89031097;117,4993723;115,052055;95,2;114,07;125,3804565;108,9108911;109,1269841
2006 Sep;98,22719459;90,53;115,8390886;111,6;113,2886711;102,8111102;117,1044518;97,45025497;117,700226;117,6481192;94,2;110,82;125,1401682;111,1111111;109,5238095
2006 Oct;99,27949291;93,62;119,0059403;109,7;111,9888011;102,5090207;119,4985546;94,09059094;118,1019332;114,32418;92,9;110,38;125,1401682;112,1112111;108,9285714
2006 Nov;100,1899128;92,83;122,9201628;109,7;112,3887611;104,3215574;115,8903135;94,00059994;118,3027868;117,8307481;95,1;112,99;126,421706;112,7112711;109,5238095
2006 Dec;100,466665;95,08;119,1386448;110,4;114,0885911;105,4292188;119,676834;100,059994;122,3198594;116,4817428;95,7;116,89;127,2326792;116,5116512;108,531746
2007 Jan;101,0719485;93,21;119,2293852;110,5;111,9888011;105,8320047;126,7252534;99,780022;118,7044941;118,3852417;92,2;115,15;127,1726071;113,7113711;109,8214286
2007 Feb;102,2741392;93,13;119,0785407;112,8;113,0886911;106,3354871;123,9760637;101,929807;119,307055;117,940405;94,9;110,71;126,1113336;115,0115012;109,1269841
2007 Mar;103,1310784;93,35;117,5897482;114;113,8886111;106,8389695;121,0088536;101,649835;119,9096159;118,2001488;96,1;115,59;128,8346015;116,3116312;109,2261905
2007 Apr;102,08878;95,07;114,3159187;113;111,9888011;105,9327012;121,6394831;100,719928;118,3027868;113,9661594;95,3;109,52;124,9199039;114,8114811;108,6309524
2007 May;103,5506172;95,67;115,7686157;114,1;114,8885111;107,8459344;122,8289712;95,96040396;120,4117499;115,5952435;98,3;114,29;128,5943132;114,0114011;110,4166667
2007 Jun;102,2225972;96,37;116,1398881;117;114,2885711;107,7452379;121,7691125;95,77042296;119,8091891;118,4432826;99,7;112,01;129,185022;114,8114811;109,2261905
2007 Jul;102,6505926;96,94;116,3539814;115,1;114,6885311;108,5508098;122,7438307;106,1293871;119,6083354;112,4102043;99,1;111,47;125,2803364;113,1113111;108,7301587
2007 Aug;103,4412826;97,38;119,0188601;116;115,0884912;108,7522027;120,4240191;99,41005899;122,3198594;110,8063177;100,9;112,98;125,8710453;114,4114411;109,3253968
