,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
2003Nov,5.000000,8.350000,9.760000,5.780000,11.290000,8.910000,8.780000,4.850000,9.850000,4.460000,8.190000,4.320000,5.240000,7.510000,7.270000
2003Oct,4.860000,8.270000,9.760000,5.680000,11.390000,8.850000,8.680000,4.870000,9.850000,4.490000,8.200000,4.240000,5.150000,7.570000,6.860000
2003Sep,4.800000,8.110000,9.770000,5.510000,11.470000,8.800000,8.550000,4.880000,9.700000,4.710000,8.350000,4.090000,5.050000,7.450000,6.530000
2003Aug,4.790000,8.000000,9.770000,5.400000,11.490000,8.780000,8.290000,4.980000,9.680000,4.790000,8.370000,3.920000,4.970000,7.350000,6.860000
2003Jul,4.810000,8.090000,9.770000,5.410000,11.520000,8.800000,8.480000,5.010000,9.690000,4.760000,8.370000,3.860000,4.920000,7.390000,6.460000
2003Jun,4.870000,8.150000,9.760000,5.610000,11.490000,8.840000,8.540000,5.020000,9.700000,4.610000,8.520000,3.730000,4.820000,7.510000,6.390000
2003May,4.830000,8.190000,9.740000,5.580000,11.410000,8.850000,8.520000,4.870000,9.700000,4.480000,8.500000,3.640000,4.740000,7.510000,6.270000
2003Apr,4.720000,8.190000,9.690000,5.360000,11.480000,8.840000,8.500000,4.950000,9.730000,4.470000,8.450000,3.480000,4.650000,7.400000,6.340000
2003Mar,4.570000,8.050000,9.620000,5.180000,11.660000,8.840000,8.370000,5.040000,9.690000,4.450000,8.690000,3.360000,4.500000,7.330000,6.320000
2003Feb,4.490000,8.020000,9.510000,5.030000,11.680000,8.860000,8.310000,5.110000,9.720000,4.560000,8.730000,3.260000,4.350000,7.270000,6.030000
